1,1,2020-11-24,INSP30,STATION_19,ELECTRICAL,MAJOR_ISSUE,,,PASS,2020-11-24 04:00:00
2,1,2021-07-24,INSP34,STATION_2,ELECTRICAL,MAJOR_ISSUE,,,PASS,2021-07-24 08:00:00
3,1,2020-01-25,INSP44,STATION_6,STRUCTURAL,OK,,,PASS,2020-01-25 04:00:00
4,2,2022-11-22,INSP13,STATION_1,STRUCTURAL,MAJOR_ISSUE,,,PASS,2022-11-22 10:00:00
5,2,2022-07-11,INSP25,STATION_6,STRUCTURAL,MAJOR_ISSUE,,,PASS,2022-07-11 07:00:00
6,2,2024-04-28,INSP38,STATION_20,STRUCTURAL,MAJOR_ISSUE,,,PASS,2024-04-28 08:00:00
7,2,2020-08-09,INSP10,STATION_19,ELECTRICAL,OK,DEF4945,2.7,FAIL,2020-08-09 10:00:00
8,2,2020-08-19,INSP29,STATION_18,SAFETY,OK,,,PASS,2020-08-19 07:00:00
9,3,2022-06-30,INSP20,STATION_15,ELECTRICAL,MINOR_ISSUE,,,PASS,2022-06-30 01:00:00
10,3,2022-05-19,INSP04,STATION_14,STRUCTURAL,MAJOR_ISSUE,,,PASS,2022-05-19 06:00:00
11,3,2023-11-23,INSP40,STATION_10,STRUCTURAL,MINOR_ISSUE,,,PASS,2023-11-23 10:00:00
12,3,2019-03-03,INSP18,STATION_1,SAFETY,MINOR_ISSUE,,,PASS,2019-03-03 08:00:00
13,3,2023-06-27,INSP40,STATION_8,PAINT,MAJOR_ISSUE,DEF2967,9.47,FAIL,2023-06-27 03:00:00
14,3,2021-06-13,INSP17,STATION_11,PAINT,MINOR_ISSUE,,,PASS,2021-06-13 02:00:00
15,4,2020-07-24,INSP12,STATION_4,SAFETY,OK,,,PASS,2020-07-24 02:00:00
16,4,2023-01-05,INSP08,STATION_20,STRUCTURAL,OK,,,PASS,2023-01-05 05:00:00
17,4,2019-01-27,INSP04,STATION_8,SAFETY,MAJOR_ISSUE,,,PASS,2019-01-27 10:00:00
18,5,2024-02-23,INSP20,STATION_2,EMISSIONS,MAJOR_ISSUE,,,PASS,2024-02-23 01:00:00
19,5,2024-12-14,INSP16,STATION_16,SAFETY,MINOR_ISSUE,,,PASS,2024-12-14 03:00:00
20,5,2020-06-06,INSP38,STATION_2,ELECTRICAL,OK,DEF8915,5.6,FAIL,2020-06-06 07:00:00
21,6,2023-07-15,INSP16,STATION_4,ELECTRICAL,MAJOR_ISSUE,,,PASS,2023-07-15 10:00:00
22,6,2019-05-10,INSP41,STATION_5,EMISSIONS,MINOR_ISSUE,,,PASS,2019-05-10 10:00:00
23,7,2023-02-08,INSP22,STATION_2,SAFETY,OK,,,PASS,2023-02-08 04:00:00
24,7,2023-09-01,INSP39,STATION_5,SAFETY,OK,,,PASS,2023-09-01 04:00:00
25,7,2024-02-22,INSP10,STATION_16,ELECTRICAL,MAJOR_ISSUE,,,PASS,2024-02-22 06:00:00
26,7,2020-03-27,INSP04,STATION_9,ELECTRICAL,OK,DEF2331,2.46,FAIL,2020-03-27 08:00:00
27,8,2022-10-23,INSP19,STATION_5,SAFETY,OK,,,PASS,2022-10-23 03:00:00
28,8,2019-05-28,INSP39,STATION_2,EMISSIONS,OK,,,PASS,2019-05-28 09:00:00
29,9,2022-07-05,INSP22,STATION_10,PAINT,OK,,,PASS,2022-07-05 01:00:00
30,9,2022-11-20,INSP35,STATION_12,SAFETY,MINOR_ISSUE,,,PASS,2022-11-20 07:00:00
31,9,2020-01-28,INSP47,STATION_15,SAFETY,MINOR_ISSUE,,,PASS,2020-01-28 06:00:00
32,9,2023-05-12,INSP12,STATION_17,EMISSIONS,MAJOR_ISSUE,,,PASS,2023-05-12 01:00:00
33,9,2020-07-25,INSP02,STATION_13,SAFETY,MINOR_ISSUE,,,PASS,2020-07-25 04:00:00
