1,1,PN97613,CV Joint,SUP045,10,1699.38,EUR,116,0,BATCH8599,2019-01-24 00:00:00
2,1,PN41165,Airbag Unit,SUP061,6,7376.97,EUR,71,0,BATCH1878,2023-03-05 21:00:00
3,1,PN12453,Intake Manifold,SUP097,7,5148.69,EUR,98,0,BATCH7083,2024-05-28 18:00:00
4,1,PN50699,Oil Pump,SUP060,1,811.13,EUR,68,0,BATCH5563,2022-05-23 08:00:00
5,1,PN26036,Drive Shaft,SUP094,1,3452.76,EUR,179,0,BATCH6073,2024-07-04 11:00:00
6,2,PN25024,Seat Assembly,SUP051,12,8252.93,EUR,159,0,BATCH8487,2020-11-01 20:00:00
7,2,PN20382,Battery Tray,SUP023,12,679.7,EUR,83,0,BATCH6299,2020-11-26 22:00:00
8,2,PN71898,Seat Assembly,SUP083,6,343.46,EUR,60,0,BATCH7759,2020-02-23 16:00:00
9,2,PN43166,ABS Module,SUP056,11,6190.61,EUR,61,0,BATCH6446,2023-12-30 00:00:00
10,2,PN39763,Pistons,SUP010,9,1972.28,EUR,112,0,BATCH6368,2020-07-30 19:00:00
11,2,PN10628,Drive Shaft,SUP007,4,6586.92,EUR,141,0,BATCH9698,2019-01-21 14:00:00
12,3,PN34088,Steering Column,SUP047,4,5548.82,EUR,19,0,BATCH6789,2020-10-19 06:00:00
13,3,PN17409,Differential,SUP003,8,6364.85,EUR,14,0,BATCH4820,2024-07-24 11:00:00
14,3,PN62247,Throttle Body,SUP028,9,8325.04,EUR,145,0,BATCH4946,2022-07-24 08:00:00
15,3,PN53603,Brake Disc,SUP056,7,5843.96,EUR,116,0,BATCH4521,2022-06-25 11:00:00
16,3,PN79017,Fuse Box,SUP047,10,3600.09,EUR,100,0,BATCH3501,2024-01-06 08:00:00
17,4,PN15635,Brake Caliper,SUP065,8,5382.02,EUR,119,0,BATCH7584,2021-04-15 19:00:00
18,4,PN56297,Power Steering Pump,SUP092,6,3351.79,EUR,127,0,BATCH5766,2019-01-26 02:00:00
19,4,PN41075,Shock Absorber,SUP070,9,6330.89,EUR,116,0,BATCH7528,2021-06-06 23:00:00
20,4,PN33170,ECU Module,SUP088,6,6345.13,EUR,156,0,BATCH1084,2022-11-15 19:00:00
21,4,PN26652,Flywheel,SUP051,1,4325.64,EUR,120,0,BATCH9608,2024-09-13 22:00:00
22,4,PN84915,Prop Shaft,SUP095,10,2681.67,EUR,27,0,BATCH6675,2019-01-12 16:00:00
23,4,PN82479,ABS Module,SUP040,4,3899.58,EUR,39,0,BATCH5653,2019-05-07 07:00:00
24,4,PN15168,Airbag Unit,SUP023,8,5913.73,EUR,7,0,BATCH8265,2023-05-20 02:00:00
25,4,PN37666,Power Steering Pump,SUP029,5,7166.17,EUR,63,0,BATCH9987,2021-06-29 14:00:00
26,4,PN62566,Intercooler,SUP028,11,8486.19,EUR,72,0,BATCH9943,2020-09-08 04:00:00
27,5,PN28142,Water Pump,SUP006,9,3228.71,EUR,143,0,BATCH4169,2020-10-24 00:00:00
28,5,PN75774,Timing Belt,SUP027,11,7608.39,EUR,102,0,BATCH6552,2022-06-16 22:00:00
29,5,PN96064,Brake Disc,SUP062,7,7303.2,EUR,47,0,BATCH3208,2022-12-07 19:00:00
30,5,PN55082,Radiator,SUP045,9,6881.83,EUR,42,0,BATCH1710,2023-10-11 07:00:00
31,5,PN19664,Pistons,SUP078,3,5009.14,EUR,16,0,BATCH7017,2024-04-16 18:00:00
32,5,PN94019,Drive Shaft,SUP097,6,4905.67,EUR,76,0,BATCH9304,2020-10-22 17:00:00
33,5,PN35838,Power Steering Pump,SUP090,3,1271.39,EUR,71,0,BATCH1658,2019-09-15 17:00:00
34,6,PN85596,Clutch Plate,SUP022,12,1409.54,EUR,41,0,BATCH3191,2020-09-17 05:00:00
35,6,PN90667,Intake Manifold,SUP034,8,6208.67,EUR,4,0,BATCH9808,2020-08-21 06:00:00
36,6,PN46722,Lambda Sensor,SUP080,11,8144.71,EUR,154,0,BATCH3747,2024-11-13 15:00:00
37,6,PN63162,Brake Caliper,SUP071,2,3397.65,EUR,33,0,BATCH2890,2020-07-20 19:00:00
38,6,PN51525,Seat Assembly,SUP059,6,4322.01,EUR,115,0,BATCH3006,2020-12-15 13:00:00
39,6,PN43717,Intercooler,SUP073,1,8172.37,EUR,14,0,BATCH5907,2021-11-01 18:00:00
40,6,PN96962,Water Pump,SUP080,4,4819.74,EUR,51,0,BATCH7030,2024-03-24 19:00:00
41,6,PN81134,EGR Valve,SUP059,2,1207.19,EUR,110,0,BATCH5060,2024-12-26 11:00:00
42,6,PN23001,Ignition Coil,SUP033,11,8485.62,EUR,85,0,BATCH8369,2019-01-01 14:00:00
43,6,PN82463,Windshield,SUP005,11,664.56,EUR,80,0,BATCH9689,2022-03-24 13:00:00
44,7,PN54220,Fuel Injector,SUP079,3,2807.62,EUR,89,0,BATCH6989,2019-03-31 13:00:00
45,7,PN24912,Transmission,SUP042,11,4958.24,EUR,34,0,BATCH8142,2021-01-03 13:00:00
46,7,PN23349,Catalytic Converter,SUP040,12,2179.74,EUR,166,0,BATCH2177,2024-01-29 00:00:00
47,7,PN46810,Gearbox Housing,SUP019,2,2833.31,EUR,29,0,BATCH1395,2024-09-19 00:00:00
48,7,PN29826,Wheel Bearing,SUP059,2,2713.72,EUR,86,0,BATCH6078,2019-04-27 05:00:00
49,7,PN49144,Seat Assembly,SUP038,12,5867.53,EUR,10,0,BATCH4690,2019-12-10 16:00:00
50,7,PN49351,Intake Manifold,SUP065,9,7598.13,EUR,127,0,BATCH8365,2019-08-06 08:00:00
51,8,PN66681,Camshaft,SUP085,6,3102.86,EUR,151,0,BATCH3156,2021-03-10 20:00:00
52,8,PN17638,Tensioner Pulley,SUP021,1,3442.71,EUR,121,0,BATCH1506,2023-07-22 15:00:00
53,8,PN77434,ECU Module,SUP090,12,3051.09,EUR,129,0,BATCH9291,2023-08-10 20:00:00
