1,54DD26491AE5F352D,SUV_Z3,LIMITED,SL006,V6_PETROL,PLANT_B,8,2023-12-24,AFTERNOON,IN_PROGRESS,75.41,2707.9,2023-12-25 18:00:00,2024-01-29 18:00:00
2,CFE32FB03C18E3A0A,VAN_M2,ELITE,BR008,HYBRID_V6,PLANT_A,8,2019-05-18,NIGHT,REJECTED,63.65,2170.9,2019-05-18 05:00:00,
3,1EA82A1E89B29666A,VAN_M2,LIMITED,SL006,HYBRID_V6,PLANT_A,4,2020-06-01,MORNING,REJECTED,97.73,3983.9,2020-06-01 04:00:00,
4,CAB12705B1B3E4F26,SEDAN_X1,PREMIUM,BL004,V6_DIESEL,PLANT_B,5,2019-03-24,AFTERNOON,COMPLETED,98.02,3477.7,2019-03-24 08:00:00,
5,1900889E98EF4242D,SUV_Z3,PREMIUM,BL004,V6_DIESEL,PLANT_E,1,2021-01-23,AFTERNOON,ON_HOLD,76.38,3668.9,2021-01-25 00:00:00,
6,5ED0955DB1673A498,TRUCK_F5,PREMIUM,GY005,V4_PETROL,PLANT_D,2,2020-11-16,NIGHT,COMPLETED,91.91,4001.6,2020-11-17 07:00:00,
7,E57D9AEF3229C8C59,MPV_T4,LIMITED,GY005,HYBRID_V6,PLANT_C,6,2021-02-01,NIGHT,REJECTED,70.01,2035.0,2021-02-03 17:00:00,2021-03-17 17:00:00
8,7C258C3E7C23BD817,VAN_M2,BASE,BR008,V4_PETROL,PLANT_C,2,2022-09-21,MORNING,COMPLETED,97.75,3306.4,2022-09-23 03:00:00,
9,52E487E6232E1446F,HATCH_K2,TOURING,WH001,V6_DIESEL,PLANT_C,6,2023-02-05,NIGHT,ON_HOLD,85.27,4074.6,2023-02-06 13:00:00,
10,0D25BA9A3B7182651,VAN_M2,PREMIUM,BL004,V6_PETROL,PLANT_C,2,2019-12-26,NIGHT,REJECTED,58.24,1352.8,2019-12-27 05:00:00,2020-01-04 05:00:00
11,F93D895F51069A890,TRUCK_F5,LIMITED,SL006,V6_DIESEL,PLANT_B,1,2020-06-27,NIGHT,ON_HOLD,91.05,2329.5,2020-06-27 04:00:00,
12,25DAC3327E4EBA5A8,MPV_T4,SPORT,SL006,V6_DIESEL,PLANT_D,5,2024-07-31,NIGHT,IN_PROGRESS,62.61,3301.5,2024-07-31 06:00:00,
13,4D55850CFE65DEDB4,HATCH_K2,BASE,RD003,V4_PETROL,PLANT_C,6,2024-04-06,MORNING,COMPLETED,61.15,3117.9,2024-04-07 13:00:00,2024-04-23 13:00:00
14,13EC639E416689B5B,TRUCK_F5,PREMIUM,WH001,V6_DIESEL,PLANT_C,7,2020-04-07,NIGHT,COMPLETED,91.24,1645.5,2020-04-08 04:00:00,
15,014AAB676B5CBF04E,TRUCK_F5,LIMITED,GN007,HYBRID_V4,PLANT_B,4,2021-05-29,AFTERNOON,REJECTED,67.61,4086.1,2021-05-30 05:00:00,2021-06-28 05:00:00
16,98818980787A43FA9,SUV_Z3,SPORT,WH001,V6_PETROL,PLANT_B,6,2024-03-28,NIGHT,IN_PROGRESS,59.51,3280.7,2024-03-28 08:00:00,
17,CF53B631CBEF6D6D0,SUV_Z3,BASE,BL004,HYBRID_V4,PLANT_D,1,2019-10-17,MORNING,IN_PROGRESS,55.71,1371.6,2019-10-17 13:00:00,
18,285A083C6C30F1586,SEDAN_X1,BASE,WH001,V6_PETROL,PLANT_C,6,2023-03-15,MORNING,REJECTED,72.3,1245.4,2023-03-16 03:00:00,
19,F0D453D909EB69B3C,VAN_M2,PREMIUM,BR008,HYBRID_V4,PLANT_A,6,2020-12-14,NIGHT,ON_HOLD,84.61,2052.5,2020-12-14 09:00:00,
20,0941990F2059249D1,HATCH_K2,PREMIUM,BL004,V4_PETROL,PLANT_E,6,2021-08-22,NIGHT,REJECTED,59.97,3765.9,2021-08-24 09:00:00,
21,420B73554EE7A694F,HATCH_K2,PREMIUM,BK002,V4_PETROL,PLANT_B,8,2020-05-03,MORNING,IN_PROGRESS,60.85,3041.3,2020-05-03 13:00:00,
